winner,item_id,item_link,timestamp,is_off_spec,is_soft_res,master_looter
Bonefrancois,228992,[Onyxia Hide Backpack],1728770648,False,True,Inquizzition
Cabret,19714,[Silver Hakkari Bijou],1729351594,False,False,Sukiyakidon
Celestieaw,230275,[Firemaw's Clutch],1729343610,False,False,Sukiyakidon
Celestieaw,230737,[Dragon's Touch],1729345108,False,False,Sukiyakidon
Celestieaw,231711,[Draconian Hood],1729347191,False,False,Sukiyakidon
Ckay,231713,[Draconian Boots],1728740451,False,True,Sukiyakidon
Ckay,231378,[Shimmering Golden Disk],1728741055,False,False,Sukiyakidon
Davidfang,231712,[Draconian Gloves],1727532346,False,False,Celestieaw
Davidfang,231710,[Draconian Leggings],1728138778,False,False,Celestieaw
Davidfang,230810,[Neltharion's Tear],1728143165,False,False,Celestieaw
Davidfang,230275,[Firemaw's Clutch],1728742208,False,False,Sukiyakidon
Davidfang,231711,[Draconian Hood],1728745090,False,True,Sukiyakidon
Davidfang,230739,[Angelista's Grasp],1728754749,False,False,Sukiyakidon
Davidfang,231713,[Draconian Boots],1729342301,False,False,Sukiyakidon
Davidfang,230257,[Ring of Blackrock],1729345132,False,False,Sukiyakidon
Davidfang,231306,[Soul Corrupter's Necklace],1729352032,False,True,Sukiyakidon
Davidfang,19708,[Blue Hakkari Bijou],1729353169,False,False,Sukiyakidon
Davidfang,230930,[Zulian Slicer],1729353376,False,False,Sukiyakidon
Davidfang,19712,[Purple Hakkari Bijou],1729354241,False,False,Sukiyakidon
Davidfang,19715,[Gold Hakkari Bijou],1729354487,False,False,Sukiyakidon
Dawuid,231721,[Primeval Boots],1727540910,False,False,Celestieaw
Dawuid,231720,[Primeval Gloves],1728142473,False,False,Celestieaw
Dawuid,13120,[Deepfury Bracers],1728755466,False,False,Sukiyakidon
Dawuid,230282,[Drake Fang Talisman],1729347282,False,False,Sukiyakidon
Djken,231716,[Primeval Belt],1728142673,False,False,Celestieaw
Djken,17962,[Blue Sack of Gems],1728143260,False,False,Celestieaw
Djken,230747,[Chromatically Tempered Sword],1729346150,False,False,Sukiyakidon
Djken,231718,[Primeval Leggings],1729347166,False,True,Sukiyakidon
Drundra,231722,[Depleted Scythe of Chaos],1727532295,False,False,Celestieaw
Drundra,230846,[Band of Dark Dominion],1727538984,False,False,Celestieaw
Drundra,230252,[Bracers of Arcane Accuracy],1727540879,False,False,Celestieaw
Duckyc,231726,[Ancient Shoulderpads],1728754696,False,True,Sukiyakidon
Duckyc,15258,[Divine Warblade of Strength],1728755494,False,False,Sukiyakidon
Duckyc,231882,[Suppression Device Receipt],1729342249,False,True,Sukiyakidon
Duckyc,5759,[Thorium Lockbox],1729344202,False,False,Sukiyakidon
Duckyc,231728,[Ancient Helm],1729345050,False,True,Sukiyakidon
Duckyc,230801,"[Ashjre'thul, Crossbow of Smiting]",1729346125,False,False,Sukiyakidon
Fatesbell,229906,[Tarnished Bronze Scale],1728139938,False,False,Celestieaw
Fatesbell,231707,[Draconian Bindings],1728142704,False,False,Celestieaw
Fatesbell,232552,[Lok'amir il Romathis],1728142862,False,False,Celestieaw
Fatesbell,230737,[Dragon's Touch],1728745014,False,False,Sukiyakidon
Fatesbell,230281,[Band of Forced Concentration],1728745061,False,True,Sukiyakidon
Fatesbell,231710,[Draconian Leggings],1728755413,False,False,Sukiyakidon
Fatesbell,231712,[Draconian Gloves],1729340418,False,False,Sukiyakidon
Fatesbell,231711,[Draconian Hood],1729345032,False,False,Sukiyakidon
Fatesbell,231512,[Primal Hakkari Idol],1729352024,False,True,Sukiyakidon
Fatesbell,19718,[Primal Hakkari Stanchion],1729352884,True,False,Sukiyakidon
Fatesbell,19707,[Red Hakkari Bijou],1729353400,False,False,Sukiyakidon
Fatesbell,19708,[Blue Hakkari Bijou],1729353403,False,False,Sukiyakidon
Fatesbell,19710,[Orange Hakkari Bijou],1729353434,False,False,Sukiyakidon
Gaab,230253,[Heartstriker],1728137144,False,False,Celestieaw
Gaab,232565,[Dragonfang Blade],1728142767,False,False,Celestieaw
Gaab,231727,[Ancient Leggings],1728142957,False,False,Celestieaw
Gaab,230837,"[Crul'shorukh, Edge of Chaos]",1728755461,False,False,Sukiyakidon
Gaab,231729,[Ancient Gloves],1728755566,False,True,Sukiyakidon
Gaab,230242,[The Untamed Blade],1729340468,False,False,Sukiyakidon
Gaab,232577,[Doom's Edge],1729347355,False,False,Sukiyakidon
Gaab,19802,[Heart of Hakkar],1729352060,False,False,Sukiyakidon
Gaab,19710,[Orange Hakkari Bijou],1729352951,False,False,Sukiyakidon
Gaab,19707,[Red Hakkari Bijou],1729352955,False,False,Sukiyakidon
Gaab,230920,[Mar'li's Eye],1729354386,False,True,Sukiyakidon
Gady,231719,[Primeval Helm],1728139740,False,False,Celestieaw
Gady,19003,[Head of Nefarian],1728755343,False,False,Sukiyakidon
Gady,231718,[Primeval Leggings],1729341986,False,True,Sukiyakidon
Gady,17963,[Green Sack of Gems],1729347083,False,False,Sukiyakidon
Graysmane,231378,[Shimmering Golden Disk],1727539010,False,False,Celestieaw
Graysmane,231723,[Primeval Chest],1728142584,False,False,Celestieaw
Graysmane,230254,"[Maladath, Runed Blade of the Black Flight]",1729342341,False,False,Sukiyakidon
Graysmane,231718,[Primeval Leggings],1729343578,False,True,Sukiyakidon
Graysmane,8307,[Hero's Boots],1729344425,False,False,Sukiyakidon
Graysmane,13047,[Twig of the World Tree],1729347075,False,False,Sukiyakidon
Graysmane,231864,[Pitchfork of Madness],1729352107,True,False,Sukiyakidon
Graysmane,230999,[Overlord's Crimson Band],1729354188,False,False,Sukiyakidon
Healingclaw,231717,[Primeval Shoulderpads],1728140027,False,False,Celestieaw
Healingclaw,231723,[Primeval Chest],1728143017,False,False,Celestieaw
Healingclaw,231718,[Primeval Leggings],1728740576,False,True,Sukiyakidon
Healingclaw,10250,[Master's Hat of the Eagle],1729344191,False,False,Sukiyakidon
Healingclaw,231814,[Chromatic Heart],1729346087,False,True,Sukiyakidon
Helicity,227533,[Incandescent Gloves],1728770674,False,False,Inquizzition
Helicity,19715,[Gold Hakkari Bijou],1729353119,False,False,Sukiyakidon
Helicity,230858,[Cloak of the Hakkari Worshipers],1729353329,False,False,Sukiyakidon
Helicity,19712,[Purple Hakkari Bijou],1729353514,False,False,Sukiyakidon
Helicity,231001,[Zanzil's Seal],1729354236,False,False,Sukiyakidon
Helicity,10285,[Shadow Silk],1729354301,False,False,Sukiyakidon
Helicity,19720,[Primal Hakkari Sash],1729354410,False,False,Sukiyakidon
Hunchard,230237,[Arcane Infused Gem],1727532276,False,False,Celestieaw
Hxmms,230811,[Pure Elementium Band],1729347008,False,True,Sukiyakidon
Hxmms,231279,[Wushoolay's Poker],1729353771,False,False,Sukiyakidon
Jetermesdan,230246,[Helm of Endless Rage],1728135101,False,False,Celestieaw
Jetermesdan,231452,[Blood of the Lightbringer],1728135234,False,False,Celestieaw
Jetermesdan,231724,[Ancient Bindings],1728143101,False,False,Celestieaw
Killfs,230867,[Zanzil's Band],1729354604,False,True,Sukiyakidon
Kirs,230272,[Scrolls of Blinding Light],1728138688,False,False,Celestieaw
Kirs,19003,[Head of Nefarian],1729346997,False,False,Sukiyakidon
Kirs,230808,[Archimtiros' Ring of Reckoning],1729347034,False,False,Sukiyakidon
Kirs,231729,[Ancient Gloves],1729347331,False,False,Sukiyakidon
Kirs,231856,[Ancient Hakkari Manslayer],1729352084,False,False,Sukiyakidon
Kirs,19707,[Red Hakkari Bijou],1729352250,False,False,Sukiyakidon
Kirs,230943,[Overlord's Onyx Band],1729352861,False,True,Sukiyakidon
Lawyercao,230241,[Spineshatter],1728133708,False,False,Celestieaw
Lawyercao,231729,[Ancient Gloves],1728142542,False,False,Celestieaw
Lawyercao,230254,"[Maladath, Runed Blade of the Black Flight]",1728740544,False,False,Sukiyakidon
Lawyercao,231725,[Ancient Belt],1728755563,False,False,Sukiyakidon
Lawyercao,232357,[Draconic Avenger],1729342500,False,False,Sukiyakidon
Lawyercao,13008,[Dalewind Trousers],1729347077,False,False,Sukiyakidon
Lovablw,231712,[Draconian Gloves],1727532387,False,False,Celestieaw
Measurezero,231713,[Draconian Boots],1728137012,False,False,Celestieaw
Measurezero,14508,[Pattern: Felcloth Shoulders],1728137465,True,False,Celestieaw
Measurezero,231714,[Draconian Robe],1728755389,False,True,Sukiyakidon
Measurezero,231712,[Draconian Gloves],1729340394,False,False,Sukiyakidon
Measurezero,231711,[Draconian Hood],1729347157,False,False,Sukiyakidon
Mengniuss,231714,[Draconian Robe],1728143055,False,False,Celestieaw
Mengniuss,231722,[Depleted Scythe of Chaos],1728738231,False,False,Sukiyakidon
Mengniuyy,19709,[Yellow Hakkari Bijou],1729354821,False,False,Sukiyakidon
Nanica,230270,[Shadow Wing Focus Staff],1728745038,False,False,Sukiyakidon
Nanica,230810,[Neltharion's Tear],1728755437,False,True,Sukiyakidon
Onimass,231815,[闪裂],1727512431,False,False,Pljj
Patlolx,231716,[原始腰带],1727512405,False,False,Pljj
Piimpofdeath,231708,[龙人腰带],1727512372,False,False,Pljj
Rankitty,228992,[Onyxia Hide Backpack],1728770654,False,True,Inquizzition
Roguesling,227765,[Scorched Core Boots],1728764640,False,False,Fdamage
Silverhandy,19715,[Gold Hakkari Bijou],1729351590,False,False,Sukiyakidon
Silverhandy,23203,[Libram of Fervor],1729352233,False,False,Sukiyakidon
Silverhandy,19721,[Primal Hakkari Shawl],1729352528,False,False,Sukiyakidon
Silverhandy,231010,[Bloodsoaked Gauntlets],1729352576,False,False,Sukiyakidon
Silverhandy,19709,[Yellow Hakkari Bijou],1729353110,False,False,Sukiyakidon
Silverhandy,19722,[Primal Hakkari Tabard],1729353352,False,False,Sukiyakidon
Silverhandy,19716,[Primal Hakkari Bindings],1729354649,False,False,Sukiyakidon
Sukiyakidon,231713,[Draconian Boots],1727540955,False,False,Celestieaw
Sukiyakidon,230847,[Essence Gatherer],1728138743,False,False,Celestieaw
Sukiyakidon,231712,[Draconian Gloves],1728738304,False,False,Sukiyakidon
Sukiyakidon,230843,[Boots of Pure Thought],1728741024,False,False,Sukiyakidon
Sukiyakidon,231710,[Draconian Leggings],1728742156,False,True,Sukiyakidon
Sukiyakidon,14507,[Pattern: Mooncloth Shoulders],1728742386,False,False,Sukiyakidon
Sukiyakidon,229906,[Tarnished Bronze Scale],1728754700,False,False,Sukiyakidon
Sukiyakidon,17962,[Blue Sack of Gems],1728755464,False,False,Sukiyakidon
Sukiyakidon,10250,[Master's Hat of the Eagle],1728755492,False,False,Sukiyakidon
Sukiyakidon,231709,[Draconian Shoulderpads],1729346095,False,True,Sukiyakidon
Sukiyakidon,231714,[Draconian Robe],1729347050,False,True,Sukiyakidon
Sukiyakidon,231847,[Gri'lek's Grinder],1729352136,True,False,Sukiyakidon
Sukiyakidon,19715,[Gold Hakkari Bijou],1729352361,False,False,Sukiyakidon
Sukiyakidon,19715,[Gold Hakkari Bijou],1729352382,False,False,Sukiyakidon
Sylvanes,231729,[Ancient Gloves],1728133796,False,False,Celestieaw
Sylvanes,232607,[Heartstriker],1728142804,False,False,Celestieaw
Sylvanes,231729,[Ancient Gloves],1728738280,False,False,Sukiyakidon
Sylvanes,231728,[Ancient Helm],1728745087,False,True,Sukiyakidon
Sylvanes,230801,"[Ashjre'thul, Crossbow of Smiting]",1728754725,False,False,Sukiyakidon
Sylvanes,230271,[Drake Talon Cleaver],1729345075,False,False,Sukiyakidon
Sylvanes,231731,[Ancient Chest],1729347070,False,True,Sukiyakidon
Sylvanes,10256,[Adventurer's Bracers of Stamina],1729347081,False,False,Sukiyakidon
Sylvanes,231512,[Primal Hakkari Idol],1729352021,False,True,Sukiyakidon
Sylvanes,231009,[Blooddrenched Leggings],1729352551,False,False,Sukiyakidon
Sylvanes,19714,[Silver Hakkari Bijou],1729354253,False,False,Sukiyakidon
Sylvanes,230859,[Gloves of the Tormented],1729355001,False,False,Sukiyakidon
Tandy,231452,[Blood of the Lightbringer],1728740481,False,False,Sukiyakidon
Tandy,231726,[Ancient Shoulderpads],1728754691,False,True,Sukiyakidon
Tandy,1973,[Orb of Deception],1728755490,False,False,Sukiyakidon
Tandy,232566,[The Untamed Blade],1729347218,False,False,Sukiyakidon
Vsanguinar,231718,[Primeval Leggings],1727539045,False,False,Celestieaw
Vsanguinar,230747,[Chromatically Tempered Sword],1728140141,False,False,Celestieaw
Vsanguinar,231720,[Primeval Gloves],1728142912,False,False,Celestieaw
Vsanguinar,231803,[Prestor's Talisman of Connivery],1728143134,False,False,Celestieaw
Vsanguinar,10150,[Mighty Helmet of the Whale],1728742982,False,False,Sukiyakidon
Vsanguinar,229352,[Intelligence Findings],1729340444,False,False,Sukiyakidon
Vsanguinar,231723,[Primeval Chest],1729347002,False,True,Sukiyakidon
Xzéizéi,231718,[Primeval Leggings],1728135173,False,False,Celestieaw
Xzéizéi,230842,[Cloak of Draconic Might],1728139826,False,False,Celestieaw
Xzéizéi,230247,[Dragonfang Blade],1728740995,False,False,Sukiyakidon
Xzéizéi,231720,[Primeval Gloves],1729347244,False,True,Sukiyakidon
Xzéizéi,231512,[Primal Hakkari Idol],1729352026,False,True,Sukiyakidon
Xzéizéi,19715,[Gold Hakkari Bijou],1729352621,False,False,Sukiyakidon
Xzéizéi,230857,[Blooddrenched Mask],1729352913,False,False,Sukiyakidon
Xzéizéi,19713,[Bronze Hakkari Bijou],1729353409,False,False,Sukiyakidon
Xzéizéi,231515,[Wushoolay's Mane],1729353710,False,False,Sukiyakidon
Xzéizéi,19709,[Yellow Hakkari Bijou],1729353828,False,False,Sukiyakidon
